NAME                 STATE                CREATE_TIME                  START_TIME                   END_TIME                     DISPLAY_NAME
6420510876662497280  JOB_STATE_FAILED     2026-02-18T00:11:24.408664Z  2026-02-18T08:40:11Z         2026-02-18T08:45:42Z         omega-v60-run_vertex_base_matrix-20260218-081120
686760047950168064   JOB_STATE_FAILED     2026-02-17T20:59:11.277937Z  2026-02-18T02:28:24Z         2026-02-18T08:36:50Z         omega-v60-run_vertex_base_matrix-20260218-045907
568540557731692544   JOB_STATE_FAILED     2026-02-17T20:16:03.169749Z  2026-02-17T20:19:03Z         2026-02-18T02:26:27Z         omega-v60-run_vertex_base_matrix-20260218-041559
2730549853846241280  JOB_STATE_CANCELLED  2026-02-17T14:01:49.753013Z  2026-02-17T14:02:47Z         2026-02-17T20:02:19.892680Z  omega-v60-run_vertex_base_matrix-20260217-220146
8578473969986830336  JOB_STATE_CANCELLED  2026-02-17T13:47:41.884194Z  2026-02-17T13:50:03Z         2026-02-17T14:02:08.879925Z  omega-v60-run_vertex_base_matrix-20260217-214738
7968236220478128128  JOB_STATE_FAILED     2026-02-17T13:26:08.701083Z  2026-02-17T13:26:29Z         2026-02-17T13:40:33Z         omega-v60-run_vertex_base_matrix-20260217-212604
178134765034012672   JOB_STATE_CANCELLED  2026-02-17T13:20:31.362723Z  2026-02-17T13:23:01Z         2026-02-17T13:26:09.348103Z  omega-v60-run_vertex_base_matrix-20260217-212027
5958504886764044288  JOB_STATE_FAILED     2026-02-17T12:49:03.193875Z  2026-02-17T12:51:14Z         2026-02-17T13:06:47Z         omega-v60-run_vertex_base_matrix-20260217-204858
1968315616913784832  JOB_STATE_FAILED     2026-02-17T12:35:13.742420Z  2026-02-17T12:37:33Z         2026-02-17T12:43:35Z         omega-v60-run_vertex_base_matrix-20260217-203509
2103423605734899712  JOB_STATE_FAILED     2026-02-17T12:22:51.057725Z  2026-02-17T12:24:52Z         2026-02-17T12:31:54Z         omega-v60-run_vertex_base_matrix-20260217-202247
702804121622675456   JOB_STATE_FAILED     2026-02-17T12:02:52.495460Z  2026-02-17T12:11:45Z         2026-02-17T12:18:46Z         omega-v60-run_vertex_base_matrix-20260217-200248
6084183463865352192  JOB_STATE_CANCELLED  2026-02-17T11:42:54.461113Z  2026-02-17T11:44:10Z         2026-02-17T12:02:21.767355Z  omega-v60-run_cloud_backtest-20260217-194250
7390227355802796032  JOB_STATE_FAILED     2026-02-17T11:39:26.276836Z  2026-02-17T11:41:00Z         2026-02-17T11:42:00Z         omega-v60-run_cloud_backtest-20260217-193922
6199025254363299840  JOB_STATE_FAILED     2026-02-17T11:34:52.886293Z  2026-02-17T11:37:11Z         2026-02-17T11:38:11Z         omega-v60-run_cloud_backtest-20260217-193449
5654089699451469824  JOB_STATE_SUCCEEDED  2026-02-17T11:30:52.670295Z  2026-02-17T11:32:12Z         2026-02-17T11:33:13Z         omega-v60-v60_swarm_xgb-20260217-193049
1993789102306099200  JOB_STATE_SUCCEEDED  2026-02-17T11:27:14.281239Z  2026-02-17T11:29:32Z         2026-02-17T11:30:02Z         omega-v60-v60_swarm_xgb-20260217-192710
7383471956361740288  JOB_STATE_CANCELLED  2026-02-17T11:24:05.936522Z  2026-02-17T11:24:06.060492Z  2026-02-17T11:26:51.077014Z  omega-v60-v60_swarm_xgb-20260217-192402
1715691825315971072  JOB_STATE_CANCELLED  2026-02-17T11:23:01.168289Z  2026-02-17T11:23:01.276054Z  2026-02-17T11:23:49.147190Z  omega-v60-run_vertex_base_matrix-20260217-192257
4505671794471993344  JOB_STATE_CANCELLED  2026-02-17T11:18:18.716359Z  2026-02-17T11:18:18.826597Z  2026-02-17T11:20:34.673085Z  omega-v60-run_vertex_base_matrix-20260217-191815
3749067057073750016  JOB_STATE_SUCCEEDED  2026-02-17T11:09:11.497390Z  2026-02-17T11:10:53Z         2026-02-17T11:12:23Z         omega-v60-run_vertex_base_matrix-20260217-190907
200230550705799168   JOB_STATE_FAILED     2026-02-17T11:04:47.051516Z  2026-02-17T11:07:05Z         2026-02-17T11:08:05Z         omega-v60-run_vertex_base_matrix-20260217-190443
5258898832149708800  JOB_STATE_FAILED     2026-02-17T10:59:48.169324Z  2026-02-17T11:02:13Z         2026-02-17T11:04:13Z         omega-v60-run_vertex_base_matrix-20260217-185944
8825749737027141632  JOB_STATE_FAILED     2026-02-17T10:54:16.282568Z  2026-02-17T10:57:25Z         2026-02-17T10:58:55Z         omega-v60-run_vertex_base_matrix-20260217-185412
